,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,bj,世纪星城带电梯顶层复式 楼上没有算房本面积必看好房,世纪星城    -  通州北苑,4室2厅 | 92.2平米 | 南 北 | 简装 | 高楼层(共10层) | 2005年建 | 板楼,6人关注 / 5天以前发布,VR房源房本满五年随时看房,"550万59,653元/平"
1,2022-10-27,bj,（店长推荐）西南四环边 御景春天 超大面积 经典两居必看好房,御景春天A区    -  科技园区,2室2厅 | 92.77平米 | 南 东 | 简装 | 低楼层(共25层) | 2011年建 | 塔楼,21人关注 / 15天以前发布,近地铁VR看装修房本满两年随时看房,"428万46,136元/平"
2,2022-10-27,bj,随时可以签约钥匙房西南向方正三居 满五年在京唯一必看好房,棕榈泉国际公寓    -  朝阳公园,3室2厅 | 178.82平米 | 西南 | 精装 | 中楼层(共30层) | 2004年建 | 塔楼,11人关注 / 17天以前发布,近地铁VR房源房本满五年随时看房,"2030万113,522元/平"
3,2022-10-27,bj,顶秀欣园东苑 采光好 位置安静 满五唯一必看好房,顶秀欣园东苑    -  宋家庄,2室1厅 | 91.24平米 | 西南 | 精装 | 低楼层(共21层) | 2006年建 | 塔楼,9人关注 / 31天以前发布,近地铁VR看装修房本满五年,"598万65,542元/平"
4,2022-10-27,bj,南礼士路三条南里，建工集团分房，落地窗、正规大客厅必看好房,南礼士路三条南里    -  月坛,2室2厅 | 101.5平米 | 东 西 | 精装 | 高楼层(共11层) | 2008年建 | 板塔结合,11人关注 / 7天以前发布,VR看装修房本满五年随时看房,"1450万142,858元/平"
5,2022-10-27,bj,长城国际东向小户型，随时可看，业主诚心出售必看好房,长城国际    -  通州北苑,1室1厅 | 48.52平米 | 东 西 | 精装 | 20层 | 2009年建 | 塔楼,33人关注 / 2个月以前发布,VR房源房本满五年随时看房,"177万36,480元/平"
6,2022-10-27,bj,南北小三居 双卫 保养很好  满二年 随时可看必看好房,首城国际A区    -  双井,3室1厅 | 91.09平米 | 南 北 | 精装 | 底层(共18层) | 2010年建 | 板楼,13人关注 / 7天以前发布,VR看装修房本满两年随时看房,"878万96,389元/平"
7,2022-10-27,bj,怡景园精装修三居室，满五年唯一住房，小区有院子会所必看好房,怡景园    -  朝阳门外,3室1厅 | 118.22平米 | 东 | 精装 | 低楼层(共14层) | 1997年建 | 塔楼,186人关注 / 5个月以前发布,近地铁VR房源房本满五年,"998万84,419元/平"
8,2022-10-27,bj,香悦四季 4室2厅 南 北必看好房,香悦四季    -  马坡,4室2厅 | 138.53平米 | 南 北 | 精装 | 高楼层(共11层) | 2011年建 | 板楼,6人关注 / 7天以前发布,VR看装修房本满五年随时看房,"509万36,743元/平"
9,2022-10-27,bj,小区中间位置 眼镜户型三居 正观小区湖景 看房方便必看好房,观湖国际    -  朝阳公园,3室2厅 | 202.18平米 | 南 北 | 精装 | 高楼层(共27层) | 2007年建 | 板楼,7人关注 / 7天以前发布,VR看装修房本满五年随时看房,"2120万104,858元/平"
10,2022-10-27,bj,国韵村 3室1厅 南 北必看好房,国韵村    -  旧宫,3室1厅 | 136.96平米 | 南 北 | 精装 | 高楼层(共17层) | 2016年建 | 板楼,1人关注 / 5天以前发布,VR看装修房本满两年随时看房,"849万61,989元/平"
11,2022-10-27,bj,西三区，客厅、卧室带落地阳台，阳光好，采光视野棒！必看好房,天通西苑三区    -  天通苑,3室2厅 | 144.25平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 6天以前发布,近地铁VR看装修房本满五年随时看房,"515万35,702元/平"
12,2022-10-27,bj,天通苑东三区，一层三居室，靠谱出售。必看好房,天通苑东三区    -  天通苑,3室2厅 | 149.09平米 | 南 北 | 简装 | 7层 | 2002年建 | 板楼,6人关注 / 4天以前发布,VR房源房本满五年随时看房,"438万29,379元/平"
13,2022-10-27,bj,云趣园三区+中间楼层+只有契税+视野好必看好房,云趣园三区    -  回龙观,3室1厅 | 115.26平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 3天以前发布,VR看装修房本满五年随时看房,"526万45,636元/平"
14,2022-10-27,bj,水岸花墅，南北通透大平层，低密度居住环境必看好房,水岸花墅    -  密云镇,3室2厅 | 132.86平米 | 南 北 | 简装 | 4层  | 板塔结合,2人关注 / 12天以前发布,VR看装修房本满五年随时看房,"240万18,065元/平"
15,2022-10-27,bj,户型方正，完全没有浪费面积，电梯房，近地铁必看好房,智学苑    -  西二旗,3室1厅 | 126.08平米 | 西南 | 简装 | 低楼层(共24层) | 2002年建 | 塔楼,9人关注 / 13天以前发布,近地铁VR房源房本满五年随时看房,"770万61,073元/平"
16,2022-10-27,bj,*店长甄选”      富锦嘉园五区必看好房,富锦嘉园五区    -  科技园区,3室1厅 | 133.69平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,5人关注 / 4天以前发布,VR看装修房本满两年,"738万55,203元/平"
