,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,cd,本固楼 3室1厅 东南必看好房,本固楼    -  猛追湾,3室1厅 | 133.77平米 | 东南 | 简装 | 中楼层(共8层) | 2000年建 | 板楼,3人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"130万9,719元/平"
1,2022-10-27,cd,静水香榭 3室2厅 南 北,静水香榭    -  温江老城,3室2厅 | 152.15平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板塔结合,49人关注 / 一年前发布,VR房源房本满五年随时看房,"103万6,770元/平"
2,2022-10-27,cd,丛林背景 1室1厅 南,丛林背景    -  国色天乡,1室1厅 | 47.93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,103人关注 / 一年前发布,近地铁VR看装修房本满五年随时看房,"24.9万5,196元/平"
3,2022-10-27,cd,外滩 3室2厅 西南,外滩    -  九眼桥,3室2厅 | 129.21平米 | 西南 | 简装 | 低楼层(共41层) | 2009年建 | 板塔结合,2人关注 / 5天以前发布,VR看装修房本满五年随时看房,"275万21,284元/平"
4,2022-10-27,cd,汇阳新村 3室2厅 南 西南必看好房,汇阳新村    -  营门口,3室2厅 | 100.32平米 | 南 西南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,45人关注 / 一年前发布,近地铁VR房源随时看房,"110万10,965元/平"
5,2022-10-27,cd,国土局老家属区 3室2厅 南 北,国土局老家属区    -  新津,3室2厅 | 151平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"83万5,497元/平"
6,2022-10-27,cd,丽都世家B区 3室1厅 东北必看好房,丽都世家B区    -  丽都,3室1厅 | 86.97平米 | 东北 | 精装 | 中楼层(共17层) | 2014年建 | 塔楼,1人关注 / 5天以前发布,VR房源房本满五年随时看房,"228万26,216元/平"
7,2022-10-27,cd,置信丽都花园城C区 4室1厅 西北必看好房,置信丽都花园城C区    -  新双楠,4室1厅 | 137.98平米 | 西北 | 简装 | 高楼层(共13层) | 2006年建 | 板塔结合,1人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"330万23,917元/平"
8,2022-10-27,cd,金沙锦苑 4室2厅 西北 南必看好房,金沙锦苑    -  金堂,4室2厅 | 170.86平米 | 西北 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6天以前发布,VR看装修随时看房,"70万4,097元/平"
9,2022-10-27,cd,今日润嶺 2室2厅 南必看好房,今日润嶺    -  金堂,2室2厅 | 72.44平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 13天以前发布,VR房源房本满五年随时看房,"59.8万8,256元/平"
10,2022-10-27,cd,佳年华新生活 3室2厅 西北必看好房,佳年华新生活    -  花都大道,3室2厅 | 78.71平米 | 西北 | 精装 | 低楼层(共29层) | 2016年建 | 板塔结合,0人关注 / 7天以前发布,VR看装修房本满两年随时看房,"103万13,087元/平"
11,2022-10-27,cd,川网国际花园 4室2厅 南必看好房,川网国际花园    -  蛟龙港,4室2厅 | 148平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,VR看装修房本满两年随时看房,"255万17,230元/平"
12,2022-10-27,cd,绿地468公馆三期 3室1厅 东南,绿地468公馆三期    -  三圣乡,3室1厅 | 88.24平米 | 东南 | 简装 | 中楼层(共25层) | 2015年建 | 塔楼,0人关注 / 6天以前发布,VR房源房本满两年随时看房,"235万26,632元/平"
