,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,dg,创业新村 4室1厅 南必看好房,创业新村    -  运河东,4室1厅 | 87.38平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,VR看装修房本满两年随时看房,"145万16,595元/平"
1,2022-10-27,dg,翠云轩四房 看房方便 朝南 价格美丽必看好房,怡丰翠云轩    -  石井,4室2厅 | 87.01平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"288万33,100元/平"
2,2022-10-27,dg,此房满二 户型方正实用 中高楼层 采光景观好 无摭挡必看好房,信鸿蔚蓝海岸    -  沙田镇,3室2厅 | 100平米 | 东 南 | 精装 | 28层  | 板塔结合,0人关注 / 8天以前发布,VR看装修房本满两年随时看房,"238万23,800元/平"
3,2022-10-27,dg,黄江碧桂园高层朝南3房业主诚心出售带车位家私电器必看好房,碧桂园翡翠山二期    -  黄江镇,3室1厅 | 93.27平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"230万24,660元/平"
4,2022-10-27,dg,房子装修保养很好 4A旅游景区观音山脚下,银马广场    -  樟木头镇,3室1厅 | 91.17平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"70万7,678元/平"
5,2022-10-27,dg,莞城电梯3房有花园 满五唯一税费少 户型方正无欠款必看好房,珊洲新苑    -  运河东,3室2厅 | 110.51平米 | 东 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 6天以前发布,VR房源房本满五年,"173万15,655元/平"
6,2022-10-27,dg,东城区域，公摊小，房子新装修，带家私电器，光线好必看好房,嘉华楼    -  莞城,3室2厅 | 90.26平米 | 东北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 29天以前发布,VR房源房本满两年随时看房,"100万11,080元/平"
7,2022-10-27,dg,此房南北对流格局，朝南向阳，采光好，次新房保养新必看好房,嘉宏锦园    -  上下桥,3室2厅 | 102平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 15天以前发布,VR看装修房本满两年随时看房,"315万30,883元/平"
8,2022-10-27,dg,业主无欠款 高楼层带入户花园视野宽阔 业主诚心出售必看好房,锦绣半山    -  黄河中心,3室2厅 | 90平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 7天以前发布,VR房源房本满五年随时看房,"205万22,778元/平"
9,2022-10-27,dg,房子满五唯一 不欠款 交易流程时间短必看好房,兰苑大厦    -  黄河中心,2室1厅 | 88.61平米 | 东南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 6天以前发布,VR看装修房本满五年随时看房,"107万12,076元/平"
10,2022-10-27,dg,金湾花园 166平大4房 正看海景 业主诚心出售必看好房,金湾花园    -  太平广场,4室1厅 | 166.03平米 | 西南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,VR看装修房本满两年随时看房,"参考价: 370万22,237元/平"
