,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,gz,富力桃园，精装两房，南北对流，业主诚心放卖，随时看,富力桃园    -  罗冲围,2室1厅 | 76.29平米 | 西南 | 精装 | 低楼层(共32层) | 2004年建 | 塔楼,4人关注 / 1个月以前发布,VR房源房本满五年随时看房,"262万34,343元/平"
1,2022-10-27,gz,广州敏捷绿湖首府三期 3室2厅 东南 南必看好房,广州敏捷绿湖首府三期    -  石滩镇,3室2厅 | 113.6平米 | 东南 南 | 精装 | 高楼层(共32层) | 2019年建 | 塔楼,0人关注 / 7天以前发布,VR看装修房本满两年随时看房,"125万11,004元/平"
2,2022-10-27,gz,国际全南向户型，光线足，楼层好，生活便利必看好房,锦绣御景国际二期    -  荔城西区,3室1厅 | 113.33平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 7天以前发布,VR房源房本满五年随时看房,"170万15,001元/平"
3,2022-10-27,gz,全新未住，方正小三房，过5税少必看好房,锦绣新天地    -  新塘南,3室2厅 | 89.83平米 | 南 | 精装 | 中楼层(共16层) | 2011年建 | 塔楼,0人关注 / 5天以前发布,VR看装修房本满五年随时看房,"153万17,033元/平"
4,2022-10-27,gz,金马大三房，钟岗旁，执信旁，省妇幼医院旁必看好房,金马香颂居    -  荔城西区,3室2厅 | 108.61平米 | 南 北 | 简装 | 高楼层(共18层) | 2015年建 | 塔楼,0人关注 / 6天以前发布,近地铁VR看装修房本满五年随时看房,"159万14,640元/平"
5,2022-10-27,gz,一线江景南向 霍阔大四房 三厕所 三阳台 美好居住向往必看好房,保利中航城一期    -  朱村,4室2厅 | 126.42平米 | 东南 南 | 精装 | 高楼层(共13层) | 2018年建 | 板楼,0人关注 / 2天以前发布,VR房源房本满两年随时看房,"255万20,171元/平"
6,2022-10-27,gz,金地荔湖城公园上城 6室3厅 南必看好房,金地荔湖城公园上城    -  永和,6室3厅 | 187.06平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 27天以前发布,VR房源房本满五年随时看房,"480万25,661元/平"
7,2022-10-27,gz,南苑望泳池4+1户型大阳台开阔视野必看好房,骏景花园    -  棠下,5室2厅 | 163.92平米 | 东南 南 | 简装 | 低楼层(共13层) | 2003年建 | 塔楼,1人关注 / 13天以前发布,近地铁VR房源房本满两年随时看房,"参考价: 851万51,878元/平"
8,2022-10-27,gz,顶楼复式，高楼层，视野开阔，无遮挡必看好房,新康花园康馨苑    -  白江,4室2厅 | 119.5平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,2人关注 / 10天以前发布,VR房源房本满两年随时看房,"178万14,896元/平"
9,2022-10-27,gz,新理想华庭 4室1厅 北必看好房,新理想华庭    -  滨江东,4室1厅 | 144.54平米 | 北 | 其他 | 高楼层(共21层) | 2000年建 | 塔楼,7人关注 / 14天以前发布,近地铁VR房源房本满五年随时看房,"1160万80,255元/平"
10,2022-10-27,gz,东方新世界，东向采光好，中高视野开阔，安静望花园。必看好房,东方新世界    -  天河公园,3室2厅 | 128.3平米 | 东 | 简装 | 高楼层(共28层) | 2007年建 | 塔楼,3人关注 / 9天以前发布,VR看装修房本满五年随时看房,"参考价: 987万76,922元/平"
11,2022-10-27,gz,黄埔万科中心 4室1厅 南必看好房,黄埔万科中心    -  文冲,4室1厅 | 66平米 | 南 | 其他 | 中楼层(共22层) | 2016年建 | 塔楼,0人关注 / 9天以前发布,近地铁房本满两年随时看房,"128万19,394元/平"
12,2022-10-27,gz,满五唯一，小区少有的户型方正电梯三房，中高楼层好,利安花园    -  滨江东,3室2厅 | 82.22平米 | 南 | 精装 | 中楼层(共9层) | 1997年建 | 塔楼,1人关注 / 10天以前发布,近地铁VR看装修房本满五年随时看房,"510万62,029元/平"
13,2022-10-27,gz,金湖翡翠山　全新别墅　前后花园　独门独户,金湖翡翠山    -  沙太北,8室3厅 | 235.42平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,42人关注 / 7天以前发布,VR房源房本满五年,"1800万76,460元/平"
14,2022-10-27,gz,中海锦榕湾 阳台东南向 看前后花园  4房不需增值税必看好房,光大花园中海锦榕湾    -  工业大道北,4室1厅 | 140.89平米 | 东南 | 简装 | 中楼层(共32层) | 2010年建 | 塔楼,1人关注 / 6天以前发布,VR看装修房本满五年,"1280万90,852元/平"
15,2022-10-27,gz,金雅苑 3室1厅 东南必看好房,金雅苑    -  滨江东,3室1厅 | 83.58平米 | 东南 | 简装 | 13层 | 2001年建 | 塔楼,1人关注 / 4天以前发布,VR看装修房本满五年,"450万53,841元/平"
