,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,hz,改善型大房，三开间朝南 户型正气，业主诚心卖必看好房,中海定山府    -  转塘,3室3厅 | 164.36平米 | 南 | 简装 | 17层  | 板楼,0人关注 / 12天以前发布,近地铁VR看装修房本满五年随时看房,"490万29,813元/平"
1,2022-10-27,hz,房子诚心出售，目前在卖户型中带大露台的房子必看好房,星海云庭    -  崇贤,3室2厅 | 127.01平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 15天以前发布,VR房源房本满五年随时看房,"246万19,369元/平"
2,2022-10-27,hz,地铁口秀水精装独栋别墅，全明地下室，房东诚售必看好房,万安秀水山庄    -  银湖科技城,5室2厅 | 273.93平米 | 南 北 | 精装 | 3层  | 板楼 | 双拼别墅,1人关注 / 8天以前发布,近地铁VR房源房本满五年,"920万33,586元/平"
3,2022-10-27,hz,湘湖地铁口，3房全明户型，视野好 有院子必看好房,华瑞湘湖美地    -  湘湖,3室2厅 | 123.58平米 | 南 | 简装 | 6层  | 板楼,18人关注 / 6个月以前发布,VR看装修房本满五年随时看房,"355万28,727元/平"
4,2022-10-27,hz,浙一浙二就近，老浙大直路，边套，户型方正必看好房,老浙大直路11-25号    -  潮鸣,3室1厅 | 76平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,近地铁VR看装修房本满两年随时看房,"306万40,264元/平"
5,2022-10-27,hz,滨湖新城板块， 小区环境好， 新交付小区， 物业优质必看好房,中骏骏澜湾    -  临安,3室1厅 | 87.97平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"140万15,915元/平"
6,2022-10-27,hz,多蓝听涛苑 纯边套毛坯 户型正气 得房率高 诚心出售！必看好房,多蓝水岸听涛苑    -  沿江北,4室2厅 | 145.25平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 6天以前发布,VR看装修房本满五年随时看房,"300万20,655元/平"
7,2022-10-27,hz,青山湖科技城地铁口大平层，户型方正必看好房,大园新城南区    -  青山湖科技城,3室2厅 | 134.5平米 | 南 | 毛坯 | 26层  | 板楼,0人关注 / 10天以前发布,VR看装修房本满两年随时看房,"242万17,993元/平"
8,2022-10-27,hz,308方 改善精装大平层 滨江品质必看好房,滨江龙湖东潮府    -  城东新城,5室2厅 | 308.76平米 | 南 西南 | 精装 | 高楼层(共15层)  | 板塔结合,3人关注 / 7天以前发布,近地铁VR房源随时看房,"1200万38,866元/平"
9,2022-10-27,hz,信息港临街北面、滨江和奥体板块合围，地铁7号线朝南必看好房,英冠乐创城    -  萧山新城区,2室1厅 | 42.57平米 | 南 | 精装 | 21层  | 板楼,0人关注 / 29天以前发布,近地铁VR房源房本满两年随时看房,"130万30,538元/平"
10,2022-10-27,hz,绿城酒店式  可以注册  40年产权可以按揭必看好房,西溪诚园明礼苑    -  西溪,3室2厅 | 145.25平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 21天以前发布,VR房源房本满两年随时看房,"470万32,359元/平"
11,2022-10-27,hz,世纪城 四开间朝南 满二唯一税费少精装修带地暖近地铁必看好房,滨江御虹府    -  钱江世纪城,3室2厅 | 103.88平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,3人关注 / 15天以前发布,近地铁VR看装修房本满两年随时看房,"635万61,129元/平"
12,2022-10-27,hz,2019年装修花了25万 满二唯一  精装修 拎包入住必看好房,城发云锦城    -  丁桥,3室1厅 | 86.49平米 | 南 | 精装 | 23层  | 板楼,2人关注 / 11天以前发布,近地铁VR看装修房本满两年随时看房,"265万30,640元/平"
13,2022-10-27,hz,满二唯一 地铁口800米 业主诚售的大两室必看好房,新月花园    -  东湖,2室1厅 | 91.18平米 | 南 | 毛坯 | 6层  | 板楼,2人关注 / 6天以前发布,VR看装修房本满两年随时看房,"164万17,987元/平"
14,2022-10-27,hz,诚心出售，价格好谈！精装，可直接入住！全明户型,景瑞天赋    -  钱江世纪城,4室2厅 | 128.59平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 10天以前发布,VR房源房本满两年随时看房,"980万76,212元/平"
15,2022-10-27,hz,艺尚小镇，边套，双阳台，精装修，满五唯一必看好房,赞成首府    -  临平新城,3室2厅 | 88.69平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 10天以前发布,VR看装修房本满五年随时看房,"242万27,287元/平"
