,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,nj,河定桥地铁口 交通方便 满二边户  房东诚心卖房换房,河定桥新苑    -  百家湖,3室2厅 | 123.57平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,27人关注 / 11个月以前发布,VR看装修房本满两年随时看房,"298万24,116元/平"
1,2022-10-27,nj,安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵    -  小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,近地铁VR房源房本满五年随时看房,"420万36,992元/平"
2,2022-10-27,nj,扬子江隧道口 地铁11号线 中间楼层 配套齐全 出行方便必看好房,新江雅苑    -  顶山街道,2室2厅 | 82.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,VR看装修随时看房,"123万14,977元/平"
3,2022-10-27,nj,金轮津桥华府 洋房 户型方正 位置好 出行方便必看好房,金轮津桥华府    -  江宁大学城,2室1厅 | 62.98平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 7个月以前发布,近地铁VR房源房本满两年随时看房,"185万29,375元/平"
4,2022-10-27,nj,满五唯一，人车分流，次新小区  精致三房必看好房,弘阳旭日上城二区    -  桥北,3室2厅 | 93.47平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 8天以前发布,VR房源房本满五年随时看房,"217万23,217元/平"
5,2022-10-27,nj,成山公寓 3室1厅 南 北必看好房,成山公寓    -  东山镇,3室1厅 | 93.54平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 5天以前发布,VR房源房本满两年随时看房,"168万17,961元/平"
6,2022-10-27,nj,钟灵街地铁口 农科院电梯房 精装修 有储藏室 满五唯一必看好房,江苏农科院住宅小区    -  孝陵卫,3室1厅 | 100.58平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 6天以前发布,近地铁VR看装修房本满五年随时看房,"430万42,753元/平"
7,2022-10-27,nj,２２０㎡大露台，双南双北户型，博世锅炉暖气片必看好房,三山花园    -  夫子庙,3室2厅 | 109.41平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 5天以前发布,近地铁VR看装修房本满两年随时看房,"530万48,442元/平"
8,2022-10-27,nj,中海桃源里 四开间朝南  业主诚心出售必看好房,中海桃源里    -  热河南路,5室1厅 | 180.48平米 | 南 | 其他 | 中楼层(共19层)  | 板楼,0人关注 / 15天以前发布,VR看装修房本满两年随时看房,"1080万59,841元/平"
9,2022-10-27,nj,繁华之上 经典LOFT 4.8米挑高复式 精装低总价低必看好房,弘阳时代中心二期    -  桥北,2室1厅 | 33.51平米 | 东 | 其他 | 中楼层(共20层)  | 板塔结合,42人关注 / 6个月以前发布,VR房源随时看房,"59万17,607元/平"
