,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,wh,此房是老证，中高楼层，精装修拎包入住必看好房,恒达·盘龙湾荷苑    -  盘龙城,3室1厅 | 95.16平米 | 南 | 精装 | 中楼层(共33层) | 2016年建 | 板塔结合,2人关注 / 6天以前发布,VR看装修房本满两年随时看房,"94万9,879元/平"
1,2022-10-27,wh,精装修，家具家电齐全，户型方正，前后双阳台老证税少必看好房,东方夏威夷国际花园    -  中法生态城,3室1厅 | 107平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2天以前发布,VR房源房本满五年随时看房,"89万8,318元/平"
2,2022-10-27,wh,东湖景区板块独栋大别墅 两证齐全 满五年必看好房,小李村别墅    -  洪山其它,5室2厅 | 327.27平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,3人关注 / 15天以前发布,VR房源房本满五年随时看房,"550万16,806元/平"
3,2022-10-27,wh,幸福人家花园洋房复式 空中大别墅 大露台 精装修必看好房,幸福人家北苑    -  后湖,6室3厅 | 197.56平米 | 南 北 | 精装 | 高楼层(共4层) | 2006年建 | 板楼,5人关注 / 14天以前发布,VR房源房本满两年随时看房,"338万17,109元/平"
4,2022-10-27,wh,此房两证已满 后期费用低 东南朝向 精装修 直接入住必看好房,银湖翡翠一期    -  金银湖,4室2厅 | 161.1平米 | 南 北 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,1人关注 / 11天以前发布,近地铁VR房源房本满五年,"200万12,415元/平"
5,2022-10-27,wh,凤凰湖畔 精装三房 楼层好采光好 诚心卖必看好房,观澜国际    -  四新,3室2厅 | 95.3平米 | 南 北 | 精装 | 中楼层(共34层) | 2014年建 | 板塔结合,0人关注 / 5天以前发布,VR房源房本满五年随时看房,"139万14,586元/平"
6,2022-10-27,wh,证满两年，毛坯电梯洋房，公摊低，可以做婚房！必看好房,联投花山郡一期（香颂）    -  光谷东,3室2厅 | 116.73平米 | 南 | 毛坯 | 低楼层(共9层) | 2014年建 | 板楼,1人关注 / 8天以前发布,VR房源房本满两年随时看房,"145.8万12,491元/平"
7,2022-10-27,wh,万科紫悦湾 精装三房，家具齐全 视野开阔能看到严西湖必看好房,万科花山紫悦湾    -  光谷东,3室2厅 | 89.17平米 | 南 | 精装 | 中楼层(共28层) | 2018年建 | 板楼,0人关注 / 8天以前发布,VR看装修房本满两年随时看房,"140万15,701元/平"
8,2022-10-27,wh,光谷东朗诗里程南北通透精装三 中高楼层诚心出售 满二必看好房,朗诗里程    -  光谷东,3室2厅 | 89.97平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"177万19,674元/平"
9,2022-10-27,wh,长江新城城开天兴花园小区，坐北朝南高层三房满五唯一必看好房,城开天兴花园    -  堤角,3室1厅 | 89.62平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,"86万9,597元/平"
10,2022-10-27,wh,万科地铁150米 公摊19.6% 自住保养好 采光无遮挡必看好房,万科汉阳国际D壹区    -  王家湾,3室1厅 | 108.2平米 | 南 北 | 精装 | 高楼层(共40层) | 2017年建 | 塔楼,1人关注 / 3天以前发布,近地铁VR房源房本满两年随时看房,"188万17,376元/平"
11,2022-10-27,wh,沙湖路 地铁口兴华嘉天下3房出售必看好房,兴华嘉天下    -  沙湖,3室2厅 | 145.63平米 | 东南 | 精装 | 高楼层(共26层) | 2009年建 | 板楼,3人关注 / 4天以前发布,近地铁VR看装修房本满五年随时看房,"335万23,004元/平"
