,time_get_data,city,title,flood,address,followInfo,tag,priceInfo
0,2022-10-27,xa,浐灞半岛A10区 2室1厅 西南必看好房,浐灞半岛A10区    -  浐河西路,2室1厅 | 92.84平米 | 西南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"119万12,818元/平"
1,2022-10-27,xa,绿地香树花城 3室1厅 东 南必看好房,绿地香树花城    -  经开南,3室1厅 | 92.25平米 | 东 南 | 精装 | 32层  | 板楼,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"156万16,911元/平"
2,2022-10-27,xa,紫薇东进 4室2厅 南 北必看好房,紫薇东进    -  城北,4室2厅 | 140.96平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 13天以前发布,VR看装修房本满两年随时看房,"240万17,027元/平"
3,2022-10-27,xa,檀香园 4室2厅 南 北必看好房,檀香园    -  雁鸣湖,4室2厅 | 150.39平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 13天以前发布,VR房源房本满五年随时看房,"178万11,836元/平"
4,2022-10-27,xa,群贤庄 4室2厅 南 北必看好房,群贤庄    -  高新四路,4室2厅 | 175.74平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,近地铁VR房源房本满两年,"520万29,590元/平"
5,2022-10-27,xa,凤城九号 3室2厅 南必看好房,凤城九号    -  经开北,3室2厅 | 94.61平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,VR看装修房本满五年随时看房,"173万18,286元/平"
6,2022-10-27,xa,浐灞半岛A10区 3室2厅 南 北必看好房,浐灞半岛A10区    -  浐河西路,3室2厅 | 125.37平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,"175万13,959元/平"
7,2022-10-27,xa,万科金色悦城 3室2厅 南 北必看好房,万科金色悦城    -  城西,3室2厅 | 90.57平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 8天以前发布,近地铁VR看装修房本满两年随时看房,"157万17,335元/平"
8,2022-10-27,xa,乐园小区 3室1厅 南 北必看好房,乐园小区    -  长安,3室1厅 | 85.26平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 6天以前发布,VR看装修房本满两年随时看房,"94.5万11,084元/平"
9,2022-10-27,xa,首创漫香郡 3室2厅 南,首创漫香郡    -  经开北,3室2厅 | 141.37平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,近地铁VR房源房本满两年随时看房,"223万15,775元/平"
10,2022-10-27,xa,英皇之都 3室2厅 南必看好房,英皇之都    -  经开北,3室2厅 | 90.91平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,1人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,"146万16,060元/平"
11,2022-10-27,xa,天朗大兴郡蔚蓝君城 3室2厅 南 北,天朗大兴郡蔚蓝君城    -  城西,3室2厅 | 109.87平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 8天以前发布,VR看装修房本满两年随时看房,"196万17,840元/平"
12,2022-10-27,xa,中建国熙台 3室2厅 北 南必看好房,中建国熙台    -  高新六路,3室2厅 | 141.37平米 | 北 南 | 毛坯 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,近地铁VR看装修房本满两年随时看房,"375万26,527元/平"
13,2022-10-27,xa,中建昆明澜庭一期 4室2厅 南 北必看好房,中建昆明澜庭一期    -  西咸,4室2厅 | 142.61平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,1人关注 / 4天以前发布,VR房源房本满两年随时看房,"225万15,778元/平"
14,2022-10-27,xa,蓝光公园华府三期 3室1厅 南必看好房,蓝光公园华府三期    -  西咸,3室1厅 | 110.67平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"172万15,542元/平"
15,2022-10-27,xa,长安易居 3室2厅 南 北必看好房,长安易居    -  城北,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2天以前发布,VR房源房本满两年随时看房,"129万10,404元/平"
16,2022-10-27,xa,九如御 3室1厅 南 北,九如御    -  经开北,3室1厅 | 118.84平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,近地铁VR房源房本满两年随时看房,"152万12,791元/平"
17,2022-10-27,xa,百花园 3室2厅 南 北必看好房,百花园    -  经开南,3室2厅 | 107.78平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,近地铁VR房源房本满两年随时看房,"125万11,598元/平"
18,2022-10-27,xa,恒大御景 3室2厅 南必看好房,恒大御景    -  世博园,3室2厅 | 107.3平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,VR看装修房本满两年随时看房,"179万16,683元/平"
