,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,bj,世纪星城带电梯顶层复式 楼上没有算房本面积必看好房,世纪星城    -  通州北苑,4室2厅 | 92.2平米 | 南 北 | 简装 | 高楼层(共10层) | 2005年建 | 板楼,8人关注 / 6天以前发布,VR房源房本满五年随时看房,"550万59,653元/平",8人关注 ,6天以前发布
1,2022-10-29,bj,（店长推荐）西南四环边 御景春天 超大面积 经典两居必看好房,御景春天A区    -  科技园区,2室2厅 | 92.77平米 | 南 东 | 简装 | 低楼层(共25层) | 2011年建 | 塔楼,24人关注 / 16天以前发布,近地铁VR看装修房本满两年随时看房,"428万46,136元/平",24人关注 ,16天以前发布
2,2022-10-29,bj,随时可以签约钥匙房西南向方正三居 满五年在京唯一必看好房,棕榈泉国际公寓    -  朝阳公园,3室2厅 | 178.82平米 | 西南 | 精装 | 中楼层(共30层) | 2004年建 | 塔楼,11人关注 / 19天以前发布,近地铁VR房源房本满五年随时看房,"2030万113,522元/平",11人关注 ,19天以前发布
3,2022-10-29,bj,顶秀欣园东苑 采光好 位置安静 满五唯一必看好房,顶秀欣园东苑    -  宋家庄,2室1厅 | 91.24平米 | 西南 | 精装 | 低楼层(共21层) | 2006年建 | 塔楼,10人关注 / 1个月以前发布,近地铁VR看装修房本满五年,"598万65,542元/平",10人关注 ,1个月以前发布
4,2022-10-29,bj,长城国际东向小户型，随时可看，业主诚心出售必看好房,长城国际    -  通州北苑,1室1厅 | 48.52平米 | 东 西 | 精装 | 20层 | 2009年建 | 塔楼,35人关注 / 2个月以前发布,VR房源房本满五年随时看房,"177万36,480元/平",35人关注 ,2个月以前发布
5,2022-10-29,bj,国韵村 3室1厅 南 北必看好房,国韵村    -  旧宫,3室1厅 | 136.96平米 | 南 北 | 精装 | 高楼层(共17层) | 2016年建 | 板楼,1人关注 / 6天以前发布,VR看装修房本满两年随时看房,"849万61,989元/平",1人关注 ,6天以前发布
6,2022-10-29,bj,怡景园精装修三居室，满五年唯一住房，小区有院子会所必看好房,怡景园    -  朝阳门外,3室1厅 | 118.22平米 | 东 | 精装 | 低楼层(共14层) | 1997年建 | 塔楼,187人关注 / 5个月以前发布,近地铁VR房源房本满五年,"998万84,419元/平",187人关注 ,5个月以前发布
7,2022-10-29,bj,云趣园三区+中间楼层+只有契税+视野好必看好房,云趣园三区    -  回龙观,3室1厅 | 115.26平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 5天以前发布,VR看装修房本满五年随时看房,"526万45,636元/平",10人关注 ,5天以前发布
8,2022-10-29,bj,天通苑东三区，一层三居室，靠谱出售。必看好房,天通苑东三区    -  天通苑,3室2厅 | 149.09平米 | 南 北 | 简装 | 7层 | 2002年建 | 板楼,6人关注 / 5天以前发布,VR房源房本满五年随时看房,"458万30,720元/平",6人关注 ,5天以前发布
9,2022-10-29,bj,恩济庄96号院 南北通透全明格局四居室必看好房,恩济庄96号院    -  定慧寺,4室2厅 | 138.94平米 | 南 西 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 5天以前发布,VR房源房本满五年随时看房,"1290万92,846元/平",3人关注 ,5天以前发布
10,2022-10-29,bj,户型方正，完全没有浪费面积，电梯房，近地铁必看好房,智学苑    -  西二旗,3室1厅 | 126.08平米 | 西南 | 简装 | 低楼层(共24层) | 2002年建 | 塔楼,9人关注 / 14天以前发布,近地铁VR房源房本满五年随时看房,"770万61,073元/平",9人关注 ,14天以前发布
11,2022-10-29,bj,水岸花墅，南北通透大平层，低密度居住环境必看好房,水岸花墅    -  密云镇,3室2厅 | 132.86平米 | 南 北 | 简装 | 4层  | 板塔结合,4人关注 / 14天以前发布,VR看装修房本满五年随时看房,"240万18,065元/平",4人关注 ,14天以前发布
12,2022-10-29,bj,南礼士路三条南里，建工集团分房，落地窗、正规大客厅必看好房,南礼士路三条南里    -  月坛,2室2厅 | 101.5平米 | 东 西 | 精装 | 高楼层(共11层) | 2008年建 | 板塔结合,14人关注 / 8天以前发布,VR看装修房本满五年随时看房,"1395万137,439元/平",14人关注 ,8天以前发布
13,2022-10-29,bj,高楼层大视野，满五唯一，主卧客厅朝阳，南北阳台必看好房,顺驰领海    -  高米店,3室1厅 | 123.78平米 | 南 北 | 精装 | 9层 | 2010年建 | 板塔结合,4人关注 / 7天以前发布,VR看装修房本满五年,"678万54,775元/平",4人关注 ,7天以前发布
14,2022-10-29,bj,*店长甄选”      富锦嘉园五区必看好房,富锦嘉园五区    -  科技园区,3室1厅 | 133.69平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,5人关注 / 5天以前发布,VR看装修房本满两年,"738万55,203元/平",5人关注 ,5天以前发布
15,2022-10-29,bj,龙泽苑东区 3室2厅 南 北必看好房,龙泽苑东区    -  回龙观,3室2厅 | 135.82平米 | 南 北 | 精装 | 低楼层(共7层) | 2003年建 | 板楼,4人关注 / 4天以前发布,近地铁VR房源房本满五年,"750万55,221元/平",4人关注 ,4天以前发布
16,2022-10-29,bj,此房精装修，西向正规一居居室，客厅大落地窗必看好房,新街坊    -  北苑,1室1厅 | 72.83平米 | 西南 | 精装 | 中楼层(共19层) | 2004年建 | 板楼,2人关注 / 8天以前发布,近地铁VR看装修房本满五年随时看房,"530万72,773元/平",2人关注 ,8天以前发布
17,2022-10-29,bj,康家园 2室1厅 东 南 北必看好房,康家园    -  甘露园,2室1厅 | 65.6平米 | 东 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,4人关注 / 2天以前发布,近地铁VR房源房本满五年随时看房,"418万63,720元/平",4人关注 ,2天以前发布
18,2022-10-29,bj,金隅丽港城 2室2厅 南必看好房,金隅丽港城    -  望京,2室2厅 | 105.74平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,3人关注 / 6天以前发布,近地铁VR房源房本满五年随时看房,"910万86,061元/平",3人关注 ,6天以前发布
19,2022-10-29,bj,苹果园 满五年唯一  杨庄地铁  6号线 精装修  全明2居必看好房,林业楼    -  苹果园,2室2厅 | 59.06平米 | 东 西 | 精装 | 顶层(共6层)  | 板楼,0人关注 / 6天以前发布,VR看装修房本满五年随时看房,"266万45,039元/平",0人关注 ,6天以前发布
20,2022-10-29,bj,本房央产房满五年 楼层好 视野宽阔 无遮挡 交通便利必看好房,官书院    -  安定门,3室1厅 | 115.9平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,27人关注 / 11天以前发布,近地铁VR房源房本满五年随时看房,"1625万140,208元/平",27人关注 ,11天以前发布
21,2022-10-29,bj,满五年，户型方正，南北通透小三居，业主诚售！必看好房,红联北村    -  小西天,3室1厅 | 84.51平米 | 南 北 | 简装 | 4层  | 板楼,8人关注 / 13天以前发布,VR看装修房本满五年随时看房,"930万110,047元/平",8人关注 ,13天以前发布
22,2022-10-29,bj,商品房房本，满五唯一，随时能看，不临街，随时签约必看好房,新景家园西区    -  崇文门,3室1厅 | 91.17平米 | 南 北 | 简装 | 中楼层(共14层) | 2004年建 | 板楼,44人关注 / 12天以前发布,近地铁VR看装修房本满五年随时看房,"999万109,576元/平",44人关注 ,12天以前发布
23,2022-10-29,bj,富力城A区 3室1厅 东南必看好房,富力城A区    -  双井,3室1厅 | 129.86平米 | 东南 | 精装 | 18层 | 2004年建 | 板塔结合,12人关注 / 13天以前发布,近地铁VR房源房本满五年随时看房,"1380万106,269元/平",12人关注 ,13天以前发布
24,2022-10-29,bj,房子满五年唯一，全南向三居室，有钥匙随时可以看房子必看好房,都市心海岸    -  望京,3室1厅 | 128.8平米 | 西南 | 简装 | 高楼层(共19层) | 2003年建 | 板塔结合,17人关注 / 12天以前发布,VR看装修房本满五年随时看房,"965万74,923元/平",17人关注 ,12天以前发布
25,2022-10-29,bj,翡翠城二期 4室2厅 南 北必看好房,翡翠城二期    -  高米店,4室2厅 | 225.42平米 | 南 北 | 精装 | 3层 | 2003年建 | 板楼,5人关注 / 9天以前发布,VR房源房本满五年随时看房,"1230万54,565元/平",5人关注 ,9天以前发布
26,2022-10-29,bj,小区中间位置 眼镜户型三居 正观小区湖景 看房方便必看好房,观湖国际    -  朝阳公园,3室2厅 | 202.18平米 | 南 北 | 精装 | 高楼层(共27层) | 2007年建 | 板楼,8人关注 / 9天以前发布,VR看装修房本满五年随时看房,"2120万104,858元/平",8人关注 ,9天以前发布
