,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,cd,镏金岁月 1室1厅 东北,镏金岁月    -  攀成钢,1室1厅 | 53.23平米 | 东北 | 简装 | 低楼层(共33层) | 2010年建 | 塔楼,0人关注 / 5天以前发布,近地铁VR房源房本满五年,"135万25,362元/平",0人关注 ,5天以前发布
1,2022-10-29,cd,本固楼 3室1厅 东南必看好房,本固楼    -  猛追湾,3室1厅 | 133.77平米 | 东南 | 简装 | 中楼层(共8层) | 2000年建 | 板楼,3人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"130万9,719元/平",3人关注 ,1个月以前发布
2,2022-10-29,cd,丛林背景 1室1厅 南,丛林背景    -  国色天乡,1室1厅 | 47.93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,103人关注 / 一年前发布,近地铁VR看装修房本满五年随时看房,"24.9万5,196元/平",103人关注 ,一年前发布
3,2022-10-29,cd,外滩 3室2厅 西南,外滩    -  九眼桥,3室2厅 | 129.21平米 | 西南 | 简装 | 低楼层(共41层) | 2009年建 | 板塔结合,3人关注 / 6天以前发布,VR看装修房本满五年随时看房,"275万21,284元/平",3人关注 ,6天以前发布
4,2022-10-29,cd,汇阳新村 3室2厅 南 西南必看好房,汇阳新村    -  营门口,3室2厅 | 100.32平米 | 南 西南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,46人关注 / 一年前发布,近地铁VR房源随时看房,"110万10,965元/平",46人关注 ,一年前发布
5,2022-10-29,cd,锦城名都 6室2厅 西南必看好房,锦城名都    -  营门口,6室2厅 | 119.95平米 | 西南 | 精装 | 高楼层(共33层) | 2009年建 | 板塔结合,0人关注 / 9天以前发布,近地铁VR房源房本满五年,"280万23,344元/平",0人关注 ,9天以前发布
6,2022-10-29,cd,置信丽都花园城C区 4室1厅 西北必看好房,置信丽都花园城C区    -  新双楠,4室1厅 | 137.98平米 | 西北 | 简装 | 高楼层(共13层) | 2006年建 | 板塔结合,2人关注 / 6天以前发布,近地铁VR房源房本满五年随时看房,"330万23,917元/平",2人关注 ,6天以前发布
7,2022-10-29,cd,国土局老家属区 3室2厅 南 北,国土局老家属区    -  新津,3室2厅 | 151平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 6天以前发布,近地铁VR房源房本满五年随时看房,"83万5,497元/平",1人关注 ,6天以前发布
8,2022-10-29,cd,今日润嶺 2室2厅 南必看好房,今日润嶺    -  金堂,2室2厅 | 72.44平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 15天以前发布,VR房源房本满五年随时看房,"59.8万8,256元/平",0人关注 ,15天以前发布
9,2022-10-29,cd,万科魅力之城四期 4室1厅 东南必看好房,万科魅力之城四期    -  成渝立交,4室1厅 | 73.2平米 | 东南 | 精装 | 高楼层(共18层) | 2009年建 | 塔楼,1人关注 / 7天以前发布,近地铁VR看装修房本满两年随时看房,"225万30,738元/平",1人关注 ,7天以前发布
10,2022-10-29,cd,保利堂悦 4室2厅 南必看好房,保利堂悦    -  茶店子,4室2厅 | 151.65平米 | 南 | 精装 | 中楼层(共27层) | 2019年建 | 板塔结合,3人关注 / 7天以前发布,近地铁VR看装修房本满两年随时看房,"515万33,960元/平",3人关注 ,7天以前发布
11,2022-10-29,cd,二十一世纪花园三期 3室2厅 南,二十一世纪花园三期    -  贝森,3室2厅 | 128.53平米 | 南 | 简装 | 低楼层(共7层) | 2003年建 | 板楼,0人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"215万16,728元/平",0人关注 ,5天以前发布
12,2022-10-29,cd,东洪广厦 3室1厅 西南,东洪广厦    -  三圣乡,3室1厅 | 88.01平米 | 西南 | 精装 | 高楼层(共32层) | 2012年建 | 板塔结合,3人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"152万17,271元/平",3人关注 ,7天以前发布
13,2022-10-29,cd,绿地468公馆三期 3室1厅 东南,绿地468公馆三期    -  三圣乡,3室1厅 | 88.24平米 | 东南 | 简装 | 中楼层(共25层) | 2015年建 | 塔楼,1人关注 / 8天以前发布,VR房源房本满两年随时看房,"235万26,632元/平",1人关注 ,8天以前发布
14,2022-10-29,cd,千禧河畔C区 3室2厅 东必看好房,千禧河畔C区    -  花都大道,3室2厅 | 81.16平米 | 东 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"109.6万13,505元/平",0人关注 ,5天以前发布
15,2022-10-29,cd,花样年·香门第北区 3室2厅 东南必看好房,花样年·香门第北区    -  郫县城区,3室2厅 | 95.18平米 | 东南 | 精装 | 中楼层(共34层) | 2019年建 | 塔楼,3人关注 / 7天以前发布,VR房源房本满两年随时看房,"136万14,289元/平",3人关注 ,7天以前发布
16,2022-10-29,cd,领地海纳时代 3室1厅 西,领地海纳时代    -  动物园,3室1厅 | 94平米 | 西 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 6天以前发布,VR房源房本满两年随时看房,"184万19,575元/平",0人关注 ,6天以前发布
17,2022-10-29,cd,佳兆业西城广场 3室1厅 东南必看好房,佳兆业西城广场    -  外光华,3室1厅 | 97.47平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 5天以前发布,近地铁VR房源房本满两年随时看房,"215万22,059元/平",2人关注 ,5天以前发布
18,2022-10-29,cd,中华名城1期 4室2厅 西南 西必看好房,中华名城1期    -  青白江,4室2厅 | 120.86平米 | 西南 西 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"93万7,695元/平",0人关注 ,3天以前发布
19,2022-10-29,cd,溪地湾 3室2厅 东南,溪地湾    -  犀浦,3室2厅 | 90.1平米 | 东南 | 精装 | 低楼层(共33层) | 2015年建 | 塔楼,4人关注 / 4天以前发布,近地铁VR房源房本满两年随时看房,"130万14,429元/平",4人关注 ,4天以前发布
20,2022-10-29,cd,远大林语城南庭 3室1厅 西必看好房,远大林语城南庭    -  蛟龙港,3室1厅 | 95.77平米 | 西 | 毛坯 | 低楼层(共12层)  | 板塔结合,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"152万15,872元/平",0人关注 ,5天以前发布
