,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,dg,黄江碧桂园高层朝南3房业主诚心出售带车位家私电器必看好房,碧桂园翡翠山二期    -  黄江镇,3室1厅 | 93.27平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,VR房源房本满两年随时看房,"230万24,660元/平",0人关注 ,7天以前发布
1,2022-10-29,dg,翠云轩四房 看房方便 朝南 价格美丽必看好房,怡丰翠云轩    -  石井,4室2厅 | 87.01平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 7天以前发布,VR房源房本满两年随时看房,"285万32,755元/平",0人关注 ,7天以前发布
2,2022-10-29,dg,房子装修保养很好 4A旅游景区观音山脚下,银马广场    -  樟木头镇,3室1厅 | 91.17平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"70万7,678元/平",0人关注 ,5天以前发布
3,2022-10-29,dg,东城区域，公摊小，房子新装修，带家私电器，光线好必看好房,嘉华楼    -  莞城,3室2厅 | 90.26平米 | 东北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 30天以前发布,VR房源房本满两年随时看房,"100万11,080元/平",2人关注 ,30天以前发布
4,2022-10-29,dg,中旅舍宿舍 3室1厅 东南必看好房,中旅舍宿舍    -  东莞行政中心区,3室1厅 | 88平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,VR房源房本满五年随时看房,"124万14,091元/平",0人关注 ,7天以前发布
5,2022-10-29,dg,塞纳河畔精装三房  全新家电  看房方便  急售必看好房,田禾塞纳河畔    -  运河东,3室2厅 | 86.98平米 | 北 | 精装 | 31层  | 板塔结合,0人关注 / 9天以前发布,VR房源房本满两年随时看房,"315万36,216元/平",0人关注 ,9天以前发布
6,2022-10-29,dg,创业新村 4室1厅 南必看好房,创业新村    -  运河东,4室1厅 | 87.38平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,VR看装修房本满两年随时看房,"138万15,794元/平",0人关注 ,9天以前发布
7,2022-10-29,dg,南部湾万科城，优质看泳池中间楼层，满五必看好房,南部湾万科城    -  大宁,3室2厅 | 96.72平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 5天以前发布,VR房源房本满两年随时看房,"280万28,950元/平",0人关注 ,5天以前发布
8,2022-10-29,dg,虎门万达精装三房 带车位出售 忍痛割爱必看好房,万达华府    -  万达,3室2厅 | 91.89平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 14天以前发布,VR看装修房本满两年随时看房,"300万32,648元/平",1人关注 ,14天以前发布
9,2022-10-29,dg,万达物业小区环境好配套齐全户型通透通风效果好必看好房,万达华府    -  万达,3室2厅 | 92.74平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 11天以前发布,VR看装修房本满两年随时看房,"280万30,192元/平",0人关注 ,11天以前发布
10,2022-10-29,dg,此房满二 户型方正实用 中高楼层 采光景观好 无摭挡必看好房,信鸿蔚蓝海岸    -  沙田镇,3室2厅 | 100平米 | 东 南 | 精装 | 28层  | 板塔结合,1人关注 / 9天以前发布,VR看装修房本满两年随时看房,"238万23,800元/平",1人关注 ,9天以前发布
