,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,gz,富力桃园，精装两房，南北对流，业主诚心放卖，随时看,富力桃园    -  罗冲围,2室1厅 | 76.29平米 | 西南 | 精装 | 低楼层(共32层) | 2004年建 | 塔楼,4人关注 / 1个月以前发布,VR房源房本满五年随时看房,"262万34,343元/平",4人关注 ,1个月以前发布
1,2022-10-29,gz,靓位独栋别墅 大隐于市 安静宜居必看好房,锦绣香江花园芙蓉园    -  汉溪长隆,5室2厅 | 249.64平米 | 东南 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 5天以前发布,VR房源房本满五年随时看房,"参考价: 870万34,850元/平",1人关注 ,5天以前发布
2,2022-10-29,gz,石牌西侨兴苑 微改造小区 四房两卫双阳台 小区中间必看好房,侨兴苑    -  石牌,4室1厅 | 117.08平米 | 北 | 简装 | 中楼层(共9层) | 1993年建 | 塔楼,0人关注 / 5天以前发布,VR房源房本满五年随时看房,"460万39,290元/平",0人关注 ,5天以前发布
3,2022-10-29,gz,金马大三房，钟岗旁，执信旁，省妇幼医院旁必看好房,金马香颂居    -  荔城西区,3室2厅 | 108.61平米 | 南 北 | 简装 | 高楼层(共18层) | 2015年建 | 塔楼,0人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"159万14,640元/平",0人关注 ,7天以前发布
4,2022-10-29,gz,一线江景南向 霍阔大四房 三厕所 三阳台 美好居住向往必看好房,保利中航城一期    -  朱村,4室2厅 | 126.42平米 | 东南 南 | 精装 | 高楼层(共13层) | 2018年建 | 板楼,1人关注 / 3天以前发布,VR房源房本满两年随时看房,"255万20,171元/平",1人关注 ,3天以前发布
5,2022-10-29,gz,全新未住，方正小三房，过5税少必看好房,锦绣新天地    -  新塘南,3室2厅 | 89.83平米 | 南 | 精装 | 中楼层(共16层) | 2011年建 | 塔楼,0人关注 / 7天以前发布,VR看装修房本满五年随时看房,"153万17,033元/平",0人关注 ,7天以前发布
6,2022-10-29,gz,满五唯一，精装别墅，花园大。全屋高档装修必看好房,金地荔湖城公园上城    -  永和,6室3厅 | 187.06平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 28天以前发布,VR房源房本满五年随时看房,"480万25,661元/平",0人关注 ,28天以前发布
7,2022-10-29,gz,东方新世界，东向采光好，中高视野开阔，安静望花园。必看好房,东方新世界    -  天河公园,3室2厅 | 128.3平米 | 东 | 简装 | 高楼层(共28层) | 2007年建 | 塔楼,3人关注 / 11天以前发布,VR看装修房本满五年随时看房,"参考价: 987万76,922元/平",3人关注 ,11天以前发布
8,2022-10-29,gz,黄埔万科中心 4室1厅 南必看好房,黄埔万科中心    -  文冲,4室1厅 | 66平米 | 南 | 其他 | 中楼层(共22层) | 2016年建 | 塔楼,0人关注 / 11天以前发布,近地铁房本满两年随时看房,"128万19,394元/平",0人关注 ,11天以前发布
9,2022-10-29,gz,满五唯一，小区少有的户型方正电梯三房，中高楼层好,利安花园    -  滨江东,3室2厅 | 82.22平米 | 南 | 精装 | 中楼层(共9层) | 1997年建 | 塔楼,2人关注 / 12天以前发布,近地铁VR看装修房本满五年随时看房,"510万62,029元/平",2人关注 ,12天以前发布
