,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,hz,房子诚心出售，目前在卖户型中带大露台的房子必看好房,星海云庭    -  崇贤,3室2厅 | 127.01平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 16天以前发布,VR房源房本满五年随时看房,"246万19,369元/平",0人关注 ,16天以前发布
1,2022-10-29,hz,湘湖地铁口，3房全明户型，视野好 有院子必看好房,华瑞湘湖美地    -  湘湖,3室2厅 | 123.58平米 | 南 | 简装 | 6层  | 板楼,18人关注 / 6个月以前发布,VR看装修房本满五年随时看房,"355万28,727元/平",18人关注 ,6个月以前发布
2,2022-10-29,hz,浙一浙二就近，老浙大直路，边套，户型方正必看好房,老浙大直路11-25号    -  潮鸣,3室1厅 | 76平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,近地铁VR看装修房本满两年随时看房,"306万40,264元/平",0人关注 ,7天以前发布
3,2022-10-29,hz,多蓝听涛苑 纯边套毛坯 户型正气 得房率高 诚心出售！必看好房,多蓝水岸听涛苑    -  沿江北,4室2厅 | 145.25平米 | 南 北 | 简装 | 6层  | 板楼,1人关注 / 8天以前发布,VR看装修房本满五年随时看房,"300万20,655元/平",1人关注 ,8天以前发布
4,2022-10-29,hz,滨湖新城板块， 小区环境好， 新交付小区， 物业优质必看好房,中骏骏澜湾    -  临安,3室1厅 | 87.97平米 | 南 | 毛坯 | 33层  | 塔楼,1人关注 / 4天以前发布,VR房源房本满两年随时看房,"140万15,915元/平",1人关注 ,4天以前发布
5,2022-10-29,hz,青山湖科技城地铁口大平层，户型方正必看好房,大园新城南区    -  青山湖科技城,3室2厅 | 134.5平米 | 南 | 毛坯 | 26层  | 板楼,0人关注 / 11天以前发布,VR看装修房本满两年随时看房,"242万17,993元/平",0人关注 ,11天以前发布
6,2022-10-29,hz,地铁口秀水精装独栋别墅，全明地下室，房东诚售必看好房,万安秀水山庄    -  银湖科技城,5室2厅 | 273.93平米 | 南 北 | 精装 | 3层  | 板楼 | 双拼别墅,2人关注 / 9天以前发布,近地铁VR房源房本满五年,"920万33,586元/平",2人关注 ,9天以前发布
7,2022-10-29,hz,荀庄 边套 花园大 尤其是此房位置处于坡地上视野开阔必看好房,荀庄    -  瓶窑,4室2厅 | 248.44平米 | 南 西 北 | 精装 | 3层  | 板楼 | 联排别墅,0人关注 / 10天以前发布,VR房源房本满五年,"900万36,227元/平",0人关注 ,10天以前发布
8,2022-10-29,hz,满二唯一 地铁口800米 业主诚售的大两室必看好房,新月花园    -  东湖,2室1厅 | 91.18平米 | 南 | 毛坯 | 6层  | 板楼,2人关注 / 7天以前发布,VR看装修房本满两年随时看房,"164万17,987元/平",2人关注 ,7天以前发布
9,2022-10-29,hz,天阳精装好房 房东诚心出售 看房比较方便视野很开阔！必看好房,东方尚城国际南区    -  火车东站,2室1厅 | 71.22平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 5天以前发布,近地铁VR看装修房本满两年随时看房,"335万47,038元/平",1人关注 ,5天以前发布
