,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,sz,14号线锦龙地铁口 89平精装三房必看好房,京基御景印象二期    -  坪山,3室2厅 | 88.56平米 | 东南 | 精装 | 低楼层(共33层) | 2015年建 | 板塔结合,2人关注 / 7天以前发布,VR看装修房本满五年随时看房,"参考价: 342万38,600元/平",2人关注 ,7天以前发布
1,2022-10-29,sz,房子南北通透 采光视野好  满五年红本在手必看好房,怡龙枫景园    -  龙岗双龙,3室2厅 | 89.07平米 | 南 北 | 精装 | 中楼层(共26层) | 2011年建 | 板塔结合,1人关注 / 4天以前发布,近地铁VR房源房本满五年随时看房,"参考价: 326万36,500元/平",1人关注 ,4天以前发布
2,2022-10-29,sz,满五，精装修，格局好，楼层好，采光充足，宜居必看好房,大东城二期    -  坪山,5室2厅 | 125平米 | 南 | 精装 | 高楼层(共33层) | 2014年建 | 板塔结合,0人关注 / 16天以前发布,VR看装修房本满五年,"参考价: 525万42,000元/平",0人关注 ,16天以前发布
3,2022-10-29,sz,山海四季城高使用率大4房  随时看房必看好房,山海四季城    -  盐田港,4室2厅 | 88.92平米 | 东南 | 精装 | 40层  | 暂无数据,4人关注 / 1个月以前发布,VR房源房本满五年随时看房,"参考价: 466万52,400元/平",4人关注 ,1个月以前发布
4,2022-10-29,sz,急售：碧海双地铁香缇湾满五唯一,中熙香缇湾    -  西乡,6室1厅 | 161.14平米 | 东南 | 简装 | 30层 | 2009年建 | 板楼,37人关注 / 6个月以前发布,近地铁VR房源房本满五年随时看房,"参考价: 1290万80,000元/平",37人关注 ,6个月以前发布
5,2022-10-29,sz,房子是满五年，唯一，花园中间，安静必看好房,星海名城二期七组团    -  前海,4室1厅 | 125.27平米 | 北 | 简装 | 12层 | 2002年建 | 板塔结合,7人关注 / 2个月以前发布,VR房源房本满五年随时看房,"参考价: 926万73,900元/平",7人关注 ,2个月以前发布
6,2022-10-29,sz,业主诚心出售，看房方便，价格可谈，随时可签约必看好房,奥园翡翠东湾    -  坪山,3室1厅 | 79.63平米 | 东南 | 精装 | 31层  | 板塔结合,3人关注 / 30天以前发布,VR看装修房本满两年随时看房,"参考价: 273万34,200元/平",3人关注 ,30天以前发布
7,2022-10-29,sz,梅林苑 南向三房 安静看园景 红本在手满五年必看好房,梅林苑    -  梅林,3室2厅 | 90.24平米 | 南 | 简装 | 中楼层(共8层) | 1996年建 | 板塔结合,1人关注 / 13天以前发布,VR看装修房本满五年随时看房,"参考价: 472万52,300元/平",1人关注 ,13天以前发布
8,2022-10-29,sz,接近指导价，客厅出阳台安静看水库，满五少税费，诚售必看好房,万科第五园八期    -  坂田,3室2厅 | 79.06平米 | 西南 | 其他 | 20层 | 2009年建 | 板楼,2人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"参考价: 465万58,800元/平",2人关注 ,5天以前发布
9,2022-10-29,sz,南北通风，满五唯一，精装修，自己住必看好房,京基御景印象一期    -  坪山,3室2厅 | 89.28平米 | 北 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,0人关注 / 16天以前发布,VR看装修房本满五年,"参考价: 347万38,800元/平",0人关注 ,16天以前发布
