,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-29,wh,精装修，家具家电齐全，户型方正，前后双阳台老证税少必看好房,东方夏威夷国际花园    -  中法生态城,3室1厅 | 107平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,VR房源房本满五年随时看房,"89万8,318元/平",0人关注 ,4天以前发布
1,2022-10-29,wh,此房两证已满 后期费用低 东南朝向 精装修 直接入住必看好房,银湖翡翠一期    -  金银湖,4室2厅 | 161.1平米 | 南 北 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,1人关注 / 12天以前发布,近地铁VR房源房本满五年,"200万12,415元/平",1人关注 ,12天以前发布
2,2022-10-29,wh,小高层洋房4房2卫  一梯两户  急售（满二无贷）必看好房,亿达云山湖    -  光谷东,4室2厅 | 119.98平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2017年建 | 板楼,4人关注 / 7天以前发布,VR房源房本满两年随时看房,"168万14,003元/平",4人关注 ,7天以前发布
3,2022-10-29,wh,凤凰湖畔 精装三房 楼层好采光好 诚心卖必看好房,观澜国际    -  四新,3室2厅 | 95.3平米 | 南 北 | 精装 | 中楼层(共34层) | 2014年建 | 板塔结合,1人关注 / 7天以前发布,VR房源房本满五年随时看房,"139万14,586元/平",1人关注 ,7天以前发布
4,2022-10-29,wh,光谷东朗诗里程南北通透精装三 中高楼层诚心出售 满二必看好房,朗诗里程    -  光谷东,3室2厅 | 89.97平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 7天以前发布,VR房源房本满两年随时看房,"177万19,674元/平",0人关注 ,7天以前发布
5,2022-10-29,wh,沙湖路 地铁口兴华嘉天下3房出售必看好房,兴华嘉天下    -  沙湖,3室2厅 | 145.63平米 | 东南 | 精装 | 高楼层(共26层) | 2009年建 | 板楼,3人关注 / 6天以前发布,近地铁VR看装修房本满五年随时看房,"335万23,004元/平",3人关注 ,6天以前发布
6,2022-10-29,wh,长江新城城开天兴花园小区，坐北朝南高层三房满五唯一必看好房,城开天兴花园    -  堤角,3室1厅 | 89.62平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 6天以前发布,近地铁VR看装修房本满五年随时看房,"86万9,597元/平",3人关注 ,6天以前发布
7,2022-10-29,wh,关山大道 清江山水临湖通透大三房 精装满二 随时看必看好房,清江山水    -  民族大道,3室2厅 | 128.12平米 | 东 南 北 | 精装 | 高楼层(共18层) | 2015年建 | 板塔结合,3人关注 / 6天以前发布,VR看装修房本满五年随时看房,"295万23,026元/平",3人关注 ,6天以前发布
8,2022-10-29,wh,清水毛坯 老证 无贷款 业主诚心出售 前后无遮挡必看好房,海赋江城天韵    -  百步亭,3室1厅 | 95.83平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,1人关注 / 7天以前发布,VR房源房本满两年随时看房,"228万23,793元/平",1人关注 ,7天以前发布
9,2022-10-29,wh,业主自住精装修 老证 高楼层 采光视野好 诚心卖必看好房,百步亭金桥汇II期    -  塔子湖,3室1厅 | 87.66平米 | 南 北 | 精装 | 高楼层(共34层) | 2017年建 | 板塔结合,0人关注 / 5天以前发布,近地铁VR房源房本满两年随时看房,"156万17,797元/平",0人关注 ,5天以前发布
10,2022-10-29,wh,国庭毛坯两房，业主急售，老证无贷必看好房,国庭    -  后湖,2室1厅 | 105.69平米 | 南 北 | 毛坯 | 高楼层(共21层) | 2007年建 | 板塔结合,0人关注 / 3天以前发布,VR房源房本满五年随时看房,"149万14,098元/平",0人关注 ,3天以前发布
11,2022-10-29,wh,万科地铁150米 公摊19.6% 自住保养好 采光无遮挡必看好房,万科汉阳国际D壹区    -  王家湾,3室1厅 | 108.2平米 | 南 北 | 精装 | 高楼层(共40层) | 2017年建 | 塔楼,2人关注 / 5天以前发布,近地铁VR房源房本满两年随时看房,"188万17,376元/平",2人关注 ,5天以前发布
12,2022-10-29,wh,此房南北通透，自住精装，保养好，满两年，后期税费少必看好房,保利时代南区    -  民族大道,4室2厅 | 147.56平米 | 南 北 | 其他 | 低楼层(共45层) | 2017年建 | 板塔结合,0人关注 / 2天以前发布,VR房源房本满两年随时看房,"515万34,902元/平",0人关注 ,2天以前发布
13,2022-10-29,wh,央企保利 小区环境优美 人车分流 电梯入户必看好房,保利香颂一期    -  王家湾,3室2厅 | 108.8平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2018年建 | 板楼,0人关注 / 3天以前发布,近地铁VR房源房本满两年随时看房,"180万16,545元/平",0人关注 ,3天以前发布
14,2022-10-29,wh,菱角湖公园旁 医院干部楼 品质好房  地铁口菱角湖万达必看好房,北湖宿舍区    -  新华路万达,3室1厅 | 137.04平米 | 东南 | 简装 | 中楼层(共12层)  | 板楼,1人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"180万13,135元/平",1人关注 ,5天以前发布
15,2022-10-29,wh,中船重工第七〇九研究所 2室1厅 南 北必看好房,中船重工第七〇九研究所    -  光谷广场,2室1厅 | 64.09平米 | 南 北 | 简装 | 中楼层(共4层) | 2004年建 | 板楼,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"120万18,724元/平",0人关注 ,3天以前发布
16,2022-10-29,wh,东湖景区板块独栋大别墅 两证齐全 满五年必看好房,小李村别墅    -  洪山其它,5室2厅 | 327.27平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,4人关注 / 17天以前发布,VR房源房本满五年随时看房,"550万16,806元/平",4人关注 ,17天以前发布
17,2022-10-29,wh,幸福人家花园洋房复式 空中大别墅 大露台 精装修必看好房,幸福人家北苑    -  后湖,6室3厅 | 197.56平米 | 南 北 | 精装 | 高楼层(共4层) | 2006年建 | 板楼,5人关注 / 16天以前发布,VR房源房本满两年随时看房,"338万17,109元/平",5人关注 ,16天以前发布
18,2022-10-29,wh,富丽金澜湾满二，大三房，户型方正，采光好双阳台必看好房,富丽金澜湾    -  庙山,3室1厅 | 116.84平米 | 南 北 | 精装 | 低楼层(共26层) | 2017年建 | 板塔结合,0人关注 / 13天以前发布,VR房源房本满两年随时看房,"105万8,987元/平",0人关注 ,13天以前发布
